utt_id,tokens,lang_tags
vise_0001,em vua push code len branch develop roi tao pull request,VIE VIE ENG ENG VIE ENG ENG VIE VIE ENG ENG
vise_0002,component nay bi re-render nhieu lan khi state thay doi,ENG VIE VIE ENG VIE VIE VIE ENG VIE VIE
vise_0003,api login dang tra ve status code nam tram,ENG ENG VIE VIE VIE ENG ENG VIE VIE
vise_0004,query nay thieu index nen chay rat cham tren production,ENG VIE VIE ENG VIE VIE VIE VIE VIE ENG
vise_0005,minh can viet them unit test cho ham validate email,VIE VIE VIE VIE ENG ENG VIE VIE ENG ENG
vise_0006,pipeline bi fail o buoc build docker image,ENG VIE ENG VIE VIE ENG ENG ENG
vise_0007,nut submit khong disable khi form dang loading,VIE ENG VIE ENG VIE ENG VIE ENG
vise_0008,middleware authentication nen tach ra thanh mot module rieng,ENG ENG VIE VIE VIE VIE VIE ENG VIE
vise_0009,bang users can them unique constraint cho truong phone,VIE ENG VIE VIE ENG ENG VIE VIE VIE
vise_0010,test case nay flaky vi phu thuoc vao thoi gian hien tai,ENG VIE VIE ENG VIE VIE VIE VIE VIE VIE VIE VIE
vise_0011,server staging dang het disk nen khong deploy duoc,ENG ENG VIE VIE ENG VIE VIE ENG VIE
vise_0012,sprint nay minh lam trang dashboard bang react query,ENG VIE VIE VIE VIE ENG VIE ENG ENG
vise_0013,token het han nhung refresh token khong duoc goi lai,ENG VIE VIE VIE ENG ENG VIE VIE VIE VIE
vise_0014,migration nay can rollback script truoc khi merge,ENG VIE VIE ENG ENG VIE VIE ENG
vise_0015,mock service chua cover truong hop timeout,ENG ENG VIE VIE VIE VIE ENG
vise_0016,config kubernetes dang thieu environment variable cho database url,ENG ENG VIE VIE ENG ENG VIE ENG ENG
vise_0017,css o mobile bi vo layout khi sidebar mo,ENG VIE ENG VIE VIE ENG VIE ENG VIE
vise_0018,endpoint search can phan trang va cache ket qua,ENG ENG VIE VIE VIE VIE ENG VIE VIE
vise_0019,transaction bi deadlock khi hai request update cung mot record,ENG VIE ENG VIE VIE ENG ENG VIE VIE ENG
vise_0020,integration test nen chay voi database container rieng,ENG ENG VIE VIE VIE ENG ENG VIE
vise_0021,pull request nay doi file ci nen can review ky,ENG ENG VIE VIE VIE ENG VIE VIE ENG VIE
vise_0022,hook use effect bi goi lap vi dependency array sai,ENG ENG ENG VIE VIE VIE VIE ENG ENG VIE
vise_0023,service payment thinh thoang tra ve null response,ENG ENG VIE VIE VIE VIE ENG ENG
vise_0024,schema moi phai ho tro soft delete cho order,ENG VIE VIE VIE VIE ENG ENG VIE ENG
vise_0025,coverage giam vi nhanh error chua co assertion,ENG VIE VIE VIE ENG VIE VIE ENG
vise_0026,log production co nhieu warning ve memory leak,ENG ENG VIE VIE ENG VIE ENG ENG
vise_0027,prop name nay chua ro nghia nen doi thanh is disabled,ENG ENG VIE VIE VIE VIE VIE VIE VIE ENG ENG
vise_0028,chung ta nen dung message queue cho tac vu gui email,VIE VIE VIE VIE ENG ENG VIE VIE VIE VIE ENG
vise_0029,foreign key bi loi vi du lieu seed khong dung thu tu,ENG ENG VIE VIE VIE VIE VIE ENG VIE VIE VIE VIE
vise_0030,e two e test can login bang tai khoan demo,ENG ENG ENG ENG VIE ENG VIE VIE VIE VIE
vise_0031,rollback ban release neu health check tiep tuc fail,ENG VIE ENG VIE ENG ENG VIE VIE ENG
vise_0032,modal khong close khi nguoi dung bam escape,ENG VIE ENG VIE VIE VIE VIE ENG
vise_0033,controller nay dang chua qua nhieu business logic,ENG VIE VIE VIE VIE VIE ENG ENG
vise_0034,index composite nen dat theo thu tu tenant id roi created at,ENG ENG VIE VIE VIE VIE VIE ENG ENG VIE ENG ENG
vise_0035,snapshot test fail vi text button vua thay doi,ENG ENG ENG VIE ENG ENG VIE VIE VIE
vise_0036,pod bi crash loop back off sau khi update secret,ENG VIE ENG ENG ENG ENG VIE VIE ENG ENG
vise_0037,man hinh profile can lazy load phan activity history,VIE VIE ENG VIE ENG ENG VIE ENG ENG
vise_0038,rate limiter chan nham request tu internal service,ENG ENG VIE VIE ENG VIE ENG ENG
vise_0039,replica lag lam du lieu hien thi bi cu,ENG ENG VIE VIE VIE VIE VIE VIE VIE
